,N,Time (ms),"(Np, Nc)"
0,1,123730.0,"(1, 1)"
1,1,123242.0,"(1, 2)"
2,1,124484.0,"(1, 4)"
3,1,141477.0,"(1, 8)"
4,1,153210.0,"(2, 1)"
5,1,159811.0,"(4, 1)"
6,1,164753.0,"(8, 1)"
7,2,122515.0,"(1, 1)"
8,2,122789.0,"(1, 2)"
9,2,125016.0,"(1, 4)"
10,2,142855.0,"(1, 8)"
11,2,162705.0,"(2, 1)"
12,2,162366.0,"(4, 1)"
13,2,163993.0,"(8, 1)"
14,4,121995.0,"(1, 1)"
15,4,122241.0,"(1, 2)"
16,4,127449.0,"(1, 4)"
17,4,140627.0,"(1, 8)"
18,4,154848.0,"(2, 1)"
19,4,161496.0,"(4, 1)"
20,4,161023.0,"(8, 1)"
21,16,120597.0,"(1, 1)"
22,16,121371.0,"(1, 2)"
23,16,126147.0,"(1, 4)"
24,16,139072.0,"(1, 8)"
25,16,146069.0,"(2, 1)"
26,16,152823.0,"(4, 1)"
27,16,152218.0,"(8, 1)"
28,32,120884.0,"(1, 1)"
29,32,121745.0,"(1, 2)"
30,32,123268.0,"(1, 4)"
31,32,135593.0,"(1, 8)"
32,32,139231.0,"(2, 1)"
33,32,150772.0,"(4, 1)"
34,32,147284.0,"(8, 1)"
